mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
525015377,525015377,2024-11-05 05:00:00+00:00,2024-12-30 14:01:00+00:00,181,-5.907431998158381,105.90819929558009
525021421,525021421,2024-11-05 05:00:00+00:00,2024-12-30 01:00:00+00:00,151,-5.869058647902869,105.85851186534215
525200126,525200126,2024-11-05 14:08:00+00:00,2024-12-28 02:00:00+00:00,303,-5.916746141364136,105.91995310781078
525701439,525701439,2024-11-08 17:30:00+00:00,2024-12-26 01:00:00+00:00,37,-5.862613310810811,105.90461099099099
