mmsi_1,mmsi_2,timestamp,lat_1,lon_1,lat_2,lon_2,sog_1,sog_2,distance_km,interaction_duration_min
525023080,525501897,2024-06-22 11:00:08+00:00,-6.1052566666666666,106.88239333333334,-6.104856666666667,106.88239166666666,0.0,0.0,0.04447835238270352,0
525023080,525501897,2024-06-22 11:00:08+00:00,-6.1052566666666666,106.88239333333334,-6.104856666666667,106.88239166666666,0.0,0.0,0.04447835238270352,0
525016334,525924924,2024-06-22 16:00:05+00:00,-6.0594616666666665,106.95519666666667,-6.0592733333333335,106.95500833333334,0.0,0.0,9.442465336721368,0
525016334,525924924,2024-06-22 16:00:05+00:00,-6.0594616666666665,106.95519666666667,-6.0592733333333335,106.95500833333334,0.0,0.0,9.442465336721368,0
525006134,525300027,2024-06-22 19:07:21+00:00,-6.106086666666667,106.90576833333333,-6.105753333333333,106.90573166666667,0.4,0.0,0.03728602245039753,0
525006134,525300027,2024-06-22 19:07:21+00:00,-6.106086666666667,106.90576833333333,-6.105753333333333,106.90573166666667,0.4,0.0,0.03728602245039753,0
525006345,525023365,2024-06-23 14:00:02+00:00,-6.106013333333333,106.88376666666667,-6.106373333333333,106.88353833333333,0.0,0.0,0.04732597628011065,0
525006345,525023365,2024-06-23 14:00:02+00:00,-6.106013333333333,106.88376666666667,-6.106373333333333,106.88353833333333,0.0,0.0,0.04732597628011065,0
525006218,525016510,2024-06-24 16:30:03+00:00,-6.095508333333333,106.95714333333333,-6.095746666666667,106.95700333333333,0.0,0.0,6.981083447800702,0
525020039,525500404,2024-06-24 17:00:01+00:00,-6.096365,106.95697166666666,-6.0968,106.95694,0.0,0.1,10.464986086968008,0
525020039,525500404,2024-06-24 17:00:01+00:00,-6.096365,106.95697166666666,-6.0968,106.95694,0.0,0.1,10.464986086968008,0
525014077,525500034,2024-06-25 11:00:02+00:00,-6.093016666666666,106.87820666666667,-6.092966666666666,106.87855333333333,0.0,0.4,3.7094173201835914,0
525014077,525500034,2024-06-25 11:00:02+00:00,-6.093016666666666,106.87820666666667,-6.092966666666666,106.87855333333333,0.0,0.4,3.7094173201835914,0
525100210,525924924,2024-06-28 05:00:00+00:00,-6.061508333333333,106.95629166666667,-6.061376666666667,106.95651333333333,0.0,0.0,10.520929320385886,0
525100210,525924924,2024-06-28 05:00:00+00:00,-6.061508333333333,106.95629166666667,-6.061376666666667,106.95651333333333,0.0,0.0,10.520929320385886,0
525010318,525021391,2024-06-28 10:30:09+00:00,-6.0890683333333335,106.92410333333333,-6.089216666666666,106.92400833333333,0.0,0.0,4.448087158873786,0
525010318,525021391,2024-06-28 11:00:09+00:00,-6.089088333333334,106.92377166666667,-6.089136666666667,106.92415666666666,0.0,0.0,3.6556756637121737,0
525010318,525021391,2024-06-28 11:00:09+00:00,-6.089088333333334,106.92377166666667,-6.089136666666667,106.92415666666666,0.0,0.0,3.6556756637121737,0
525020039,525200307,2024-06-28 11:30:08+00:00,-6.0952383333333335,106.95701333333334,-6.095236666666667,106.957125,0.0,0.0,3.749750020960731,0
525005334,525007176,2024-06-28 12:00:08+00:00,-6.096758333333334,106.956965,-6.096373333333333,106.95698333333333,0.0,0.0,5.062769881554791,0
525005334,525007176,2024-06-28 12:00:08+00:00,-6.096758333333334,106.956965,-6.096373333333333,106.95698333333333,0.0,0.0,5.062769881554791,0
525010318,525021391,2024-06-28 13:00:09+00:00,-6.089063333333334,106.92370333333334,-6.089038333333334,106.92382833333333,0.1,0.0,7.556162649668958,0
525010318,525021391,2024-06-28 13:00:09+00:00,-6.089063333333334,106.92370333333334,-6.089038333333334,106.92382833333333,0.1,0.0,7.556162649668958,0
525020039,525200307,2024-06-28 14:03:19+00:00,-6.095161666666667,106.95702166666666,-6.09518,106.95714166666667,0.0,0.0,0.16653103821535575,0
525010318,525021391,2024-06-28 14:03:19+00:00,-6.08906,106.92373333333333,-6.0890233333333335,106.92381333333333,0.0,0.1,0.16653103821535575,0
525005334,525007176,2024-06-28 14:03:19+00:00,-6.096708333333333,106.95696,-6.0963433333333334,106.956985,0.0,0.0,0.16653103821535575,0
525020039,525200307,2024-06-28 14:03:19+00:00,-6.095161666666667,106.95702166666666,-6.09518,106.95714166666667,0.0,0.0,0.16653103821535575,0
525010318,525021391,2024-06-28 14:03:19+00:00,-6.08906,106.92373333333333,-6.0890233333333335,106.92381333333333,0.0,0.1,0.16653103821535575,0
525005334,525007176,2024-06-28 14:03:19+00:00,-6.096708333333333,106.95696,-6.0963433333333334,106.956985,0.0,0.0,0.16653103821535575,0
525005334,525007176,2024-06-28 15:00:08+00:00,-6.096706666666667,106.95692,-6.096338333333334,106.956955,0.0,0.0,7.383176157162387,0
525005334,525007176,2024-06-28 15:00:08+00:00,-6.096706666666667,106.95692,-6.096338333333334,106.956955,0.0,0.0,7.383176157162387,0
525020039,525200307,2024-06-28 16:00:09+00:00,-6.095188333333334,106.95702333333334,-6.0951683333333335,106.95712333333333,0.0,0.0,3.7519726544059804,0
525010318,525021391,2024-06-28 16:00:09+00:00,-6.089026666666666,106.92369833333333,-6.089403333333333,106.92368833333333,0.1,0.1,3.7519726544059804,0
525020039,525200307,2024-06-28 16:00:09+00:00,-6.095188333333334,106.95702333333334,-6.0951683333333335,106.95712333333333,0.0,0.0,3.7519726544059804,0
525010318,525021391,2024-06-28 16:00:09+00:00,-6.089026666666666,106.92369833333333,-6.089403333333333,106.92368833333333,0.1,0.1,3.7519726544059804,0
