mmsi_1,mmsi_2,timestamp,lat_1,lon_1,lat_2,lon_2,sog_1,sog_2,distance_km
525015242,525016451,2024-06-08 01:01:08+00:00,-5.973118333333334,106.13101333333333,-5.973401666666667,106.13117833333334,0.0,0.0,0.03640813763300461
525015242,525016451,2024-06-08 01:01:08+00:00,-5.973118333333334,106.13101333333333,-5.973401666666667,106.13117833333334,0.0,0.0,0.03640813763300461
525005027,525301543,2024-06-17 01:00:58+00:00,-5.973006666666667,106.13098,-5.9733366666666665,106.13119,0.0,0.0,0.043426201440270706
525005027,525301543,2024-06-17 01:00:58+00:00,-5.973006666666667,106.13098,-5.9733366666666665,106.13119,0.0,0.0,0.043426201440270706
525301543,525401711,2024-06-17 02:30:09+00:00,-5.9732883333333335,106.131205,-5.973003333333334,106.13095833333334,0.0,0.0,0.04181440262495699
525023080,525501897,2024-06-22 11:00:08+00:00,-6.1052566666666666,106.88239333333334,-6.104856666666667,106.88239166666666,0.0,0.0,0.04447835238270352
525023080,525501897,2024-06-22 11:00:08+00:00,-6.1052566666666666,106.88239333333334,-6.104856666666667,106.88239166666666,0.0,0.0,0.04447835238270352
525016334,525924924,2024-06-22 16:00:05+00:00,-6.0594616666666665,106.95519666666667,-6.0592733333333335,106.95500833333334,0.0,0.0,0.02953343620402771
525016334,525924924,2024-06-22 16:00:05+00:00,-6.0594616666666665,106.95519666666667,-6.0592733333333335,106.95500833333334,0.0,0.0,0.02953343620402771
525006134,525300027,2024-06-22 19:07:21+00:00,-6.106086666666667,106.90576833333333,-6.105753333333333,106.90573166666667,0.4,0.0,0.03728602245039753
525006134,525300027,2024-06-22 19:07:21+00:00,-6.106086666666667,106.90576833333333,-6.105753333333333,106.90573166666667,0.4,0.0,0.03728602245039753
525006345,525023365,2024-06-23 14:00:02+00:00,-6.106013333333333,106.88376666666667,-6.106373333333333,106.88353833333333,0.0,0.0,0.04732597628011065
525006345,525023365,2024-06-23 14:00:02+00:00,-6.106013333333333,106.88376666666667,-6.106373333333333,106.88353833333333,0.0,0.0,0.04732597628011065
525300875,525301543,2024-06-24 00:30:43+00:00,-5.973066666666667,106.130785,-5.972985,106.13092,0.1,0.0,0.017474626566946858
525300875,525301543,2024-06-24 01:00:14+00:00,-5.97306,106.13078333333333,-5.972975,106.13094666666667,0.0,0.0,0.020386581488382894
525300875,525301543,2024-06-24 01:00:14+00:00,-5.97306,106.13078333333333,-5.972975,106.13094666666667,0.0,0.0,0.020386581488382894
525006218,525016510,2024-06-24 16:30:03+00:00,-6.095508333333333,106.95714333333333,-6.095746666666667,106.95700333333333,0.0,0.0,0.03069096194543659
525020039,525500404,2024-06-24 17:00:01+00:00,-6.096365,106.95697166666666,-6.0968,106.95694,0.0,0.1,0.04849634718794481
525020039,525500404,2024-06-24 17:00:01+00:00,-6.096365,106.95697166666666,-6.0968,106.95694,0.0,0.1,0.04849634718794481
525014077,525500034,2024-06-25 11:00:02+00:00,-6.093016666666666,106.87820666666667,-6.092966666666666,106.87855333333333,0.0,0.4,0.038730938997434475
525014077,525500034,2024-06-25 11:00:02+00:00,-6.093016666666666,106.87820666666667,-6.092966666666666,106.87855333333333,0.0,0.4,0.038730938997434475
525100210,525924924,2024-06-28 05:00:00+00:00,-6.061508333333333,106.95629166666667,-6.061376666666667,106.95651333333333,0.0,0.0,0.028550115538181386
525100210,525924924,2024-06-28 05:00:00+00:00,-6.061508333333333,106.95629166666667,-6.061376666666667,106.95651333333333,0.0,0.0,0.028550115538181386
525010318,525021391,2024-06-28 10:30:09+00:00,-6.0890683333333335,106.92410333333333,-6.089216666666666,106.92400833333333,0.0,0.0,0.019554578089252202
525010318,525021391,2024-06-28 11:00:09+00:00,-6.089088333333334,106.92377166666667,-6.089136666666667,106.92415666666666,0.0,0.0,0.04290644582213109
525010318,525021391,2024-06-28 11:00:09+00:00,-6.089088333333334,106.92377166666667,-6.089136666666667,106.92415666666666,0.0,0.0,0.04290644582213109
525020039,525200307,2024-06-28 11:30:08+00:00,-6.0952383333333335,106.95701333333334,-6.095236666666667,106.957125,0.0,0.0,0.012347962820206547
525005334,525007176,2024-06-28 12:00:08+00:00,-6.096758333333334,106.956965,-6.096373333333333,106.95698333333333,0.0,0.0,0.04285800988490213
525005334,525007176,2024-06-28 12:00:08+00:00,-6.096758333333334,106.956965,-6.096373333333333,106.95698333333333,0.0,0.0,0.04285800988490213
525010318,525021391,2024-06-28 13:00:09+00:00,-6.089063333333334,106.92370333333334,-6.089038333333334,106.92382833333333,0.1,0.0,0.014097741727777457
525010318,525021391,2024-06-28 13:00:09+00:00,-6.089063333333334,106.92370333333334,-6.089038333333334,106.92382833333333,0.1,0.0,0.014097741727777457
525005334,525007176,2024-06-28 14:03:19+00:00,-6.096708333333333,106.95696,-6.0963433333333334,106.956985,0.0,0.0,0.04068016666668433
525010318,525021391,2024-06-28 14:03:19+00:00,-6.08906,106.92373333333333,-6.0890233333333335,106.92381333333333,0.0,0.1,0.0097398338014727
525020039,525200307,2024-06-28 14:03:19+00:00,-6.095161666666667,106.95702166666666,-6.09518,106.95714166666667,0.0,0.0,0.013423655813077372
525005334,525007176,2024-06-28 14:03:19+00:00,-6.096708333333333,106.95696,-6.0963433333333334,106.956985,0.0,0.0,0.04068016666668433
525010318,525021391,2024-06-28 14:03:19+00:00,-6.08906,106.92373333333333,-6.0890233333333335,106.92381333333333,0.0,0.1,0.0097398338014727
525020039,525200307,2024-06-28 14:03:19+00:00,-6.095161666666667,106.95702166666666,-6.09518,106.95714166666667,0.0,0.0,0.013423655813077372
