mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
371844000,566850000,2024-10-14 04:34:00+00:00,2024-10-16 14:01:00+00:00,34,-6.013767034313726,105.95651382352942
371844000,636018880,2024-09-16 15:02:00+00:00,2024-09-17 17:02:00+00:00,30,-6.009968972222223,105.95886605555555
373619000,636020967,2024-08-05 10:32:00+00:00,2024-08-06 15:02:00+00:00,32,-6.010062994791667,105.95765005208332
413381010,538006720,2024-09-15 12:30:00+00:00,2024-09-17 06:30:00+00:00,44,-6.015217992424241,105.95203912878787
413387260,525119221,2024-07-28 00:00:00+00:00,2024-07-30 11:30:00+00:00,62,-6.008616680107528,105.96072338709675
414009000,538006862,2024-09-09 22:30:00+00:00,2024-09-11 14:00:00+00:00,31,-6.011033413978497,105.95651435483872
416056000,525016693,2024-08-21 17:00:00+00:00,2024-09-03 06:30:00+00:00,62,-6.014876532258064,105.9564211155914
416056000,525119221,2024-08-25 11:00:00+00:00,2024-08-30 10:30:00+00:00,43,-6.009386162790697,105.95994430232558
416056000,525501681,2024-08-29 04:30:00+00:00,2024-08-31 08:02:00+00:00,43,-6.014129573643411,105.95679625968992
416056000,525701581,2024-08-21 19:36:00+00:00,2024-09-05 00:30:00+00:00,73,-6.014378276255707,105.95717700913242
416056000,636021716,2024-08-29 01:15:00+00:00,2024-09-03 06:30:00+00:00,57,-6.010444400584796,105.95870567251461
477203800,636017816,2024-07-11 09:32:00+00:00,2024-07-15 23:35:00+00:00,37,-6.009892027027027,105.95891774774773
477276100,477855600,2024-06-02 12:04:00+00:00,2024-06-03 14:31:00+00:00,33,-6.009389015151514,105.95836045454544
477537500,525701581,2024-10-22 03:30:00+00:00,2024-10-31 16:00:00+00:00,76,-6.012828574561404,105.95785208333332
477537500,538005790,2024-10-26 06:00:00+00:00,2024-10-31 12:06:00+00:00,48,-6.010006458333334,105.95774998263887
477537500,563189300,2024-10-29 00:00:00+00:00,2024-10-30 23:00:00+00:00,32,-6.012432083333334,105.95476372395834
525001068,525003465,2024-06-22 04:01:00+00:00,2024-10-07 06:01:00+00:00,34,-5.921132303921569,105.95426120098038
