mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
255916315,372072000,2025-10-28 00:36:00,2025-10-28 01:15:00,39.0,1.1886061,103.750336
255916315,372072000,2025-10-29 00:48:00,2025-10-29 01:27:00,39.0,1.1885889,103.75033
352800000,538002666,2025-12-30 04:14:00,2025-12-30 05:05:00,51.0,1.3077345,104.11867
525114108,565574000,2025-10-27 23:39:00,2025-10-28 00:26:00,47.0,1.1742849,103.75811
